"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.322403708E0,-7.957635666E-3,-5.098817730E-3,1.241773188E-2,1.560519057E-2
2.332435708E0,-1.070495908E-2,1.223312432E-2,1.930399776E-2,2.523667587E-2
2.342467708E0,3.060788987E-3,6.687314361E-3,1.640728712E-3,7.535289862E-3
2.352499708E0,1.839040685E-4,5.503088739E-3,4.633918405E-3,7.196596845E-3
2.362531708E0,4.105302701E-3,8.918949896E-3,1.840586543E-2,2.086089787E-2
2.372563708E0,-3.709478178E-3,1.037521723E-2,8.077928424E-3,1.366229441E-2
2.382595708E0,-8.770869160E-4,-1.132377265E-3,1.496302485E-2,1.503142284E-2
2.392627708E0,2.476382623E-3,-4.906453472E-3,1.436543941E-2,1.538088444E-2
2.402659708E0,-4.912625025E-3,-6.262916140E-5,2.389757037E-3,5.463400566E-3
2.412691708E0,3.582465691E-3,-2.897596853E-3,1.331644893E-2,1.409105887E-2
2.422723708E0,5.900516678E-3,1.347323653E-2,1.496185541E-2,2.098097512E-2
2.432755708E0,1.867103666E-2,9.390893290E-3,1.511271358E-2,2.579128920E-2
2.442787708E0,1.922057443E-3,2.921168441E-3,9.125749469E-3,9.772759756E-3
2.452819708E0,-1.168374186E-3,7.437603492E-3,3.437578082E-3,8.276471894E-3
2.462851708E0,-9.368349533E-3,8.024536036E-3,1.361641109E-2,1.837296390E-2
2.472883708E0,5.110877613E-4,1.426172443E-3,1.930516720E-2,1.936452063E-2
2.482915708E0,7.650898956E-4,1.159752284E-2,8.378475308E-3,1.432783121E-2
2.492947708E0,4.849909069E-3,1.660253844E-2,-5.262494087E-6,1.729641374E-2
2.502979708E0,2.276850957E-4,4.060333958E-3,9.726843238E-3,1.054275257E-2
2.513011708E0,1.740761781E-3,1.323699988E-3,8.679022193E-3,8.950299406E-3
2.523043708E0,9.752369989E-3,-4.300362160E-3,1.571263790E-2,1.898654326E-2
2.533075708E0,-1.191957652E-2,6.494246610E-3,2.839407921E-3,1.386772442E-2
2.543107708E0,-4.787786971E-3,2.559773969E-3,2.035415769E-2,2.106577988E-2
2.553139708E0,2.730727368E-3,-3.360833377E-3,1.092552245E-2,1.175240885E-2
2.563171708E0,-1.316788397E-3,-9.704093914E-4,8.832219243E-3,8.982411860E-3
2.573203708E0,6.012381222E-3,-9.190671835E-3,3.444594741E-3,1.151010033E-2
2.583235708E0,-3.500563558E-5,2.896418273E-3,5.091170669E-3,5.857515086E-3
2.593267708E0,-6.987833837E-4,5.052341502E-3,1.601727784E-2,1.680974843E-2
2.603299708E0,-6.070049386E-4,9.450242529E-3,4.041010737E-3,1.029588785E-2
2.613331708E0,5.522969272E-3,1.092471845E-2,1.511856079E-2,1.945311140E-2
2.623363708E0,-5.910196560E-3,5.842263792E-3,-1.647160649E-3,8.472048619E-3
2.633395708E0,-3.124286095E-3,1.210519820E-3,-5.988718271E-3,6.862307802E-3
2.643427708E0,-8.019040567E-3,-4.203015156E-3,7.334162593E-3,1.165162173E-2
2.653459708E0,7.689714418E-3,1.034697700E-2,3.890737295E-3,1.346586342E-2
2.663491708E0,4.069616413E-4,1.025406109E-2,8.380814195E-3,1.324950690E-2
2.673523708E0,-8.410703517E-3,5.561432987E-3,2.693812251E-3,1.043676650E-2
2.683555708E0,-7.272264333E-3,-1.895411499E-4,4.490661621E-4,7.288581124E-3
2.693587708E0,-4.218706707E-3,1.736407433E-2,1.798018813E-3,1.795943861E-2
2.703619708E0,8.739120606E-4,5.772444382E-3,1.317670047E-2,1.441215708E-2
2.713651708E0,-7.419655281E-3,-1.010006005E-2,3.148140907E-3,1.292181445E-2
2.723683708E0,6.526214434E-3,-1.585600432E-3,1.123133183E-2,1.308619189E-2
2.733715708E0,3.966582078E-3,-5.902946927E-4,1.243001103E-2,1.306091098E-2
2.743747708E0,1.105237962E-3,-1.329254843E-3,1.093253911E-2,1.106837299E-2
2.753779708E0,1.968387491E-3,1.109454352E-2,2.100904584E-3,1.146199134E-2
2.763811708E0,-4.990817830E-3,1.250810791E-3,2.849348187E-3,5.881460307E-3
2.773843708E0,-4.599840101E-4,2.544032168E-3,1.886662602E-2,1.904293209E-2
2.783875708E0,6.932778647E-3,9.516544472E-3,8.539858460E-3,1.454500674E-2
2.793907708E0,8.919877228E-3,1.325227574E-2,2.851687074E-3,1.622711130E-2
2.803939708E0,-8.441826236E-4,-1.265264377E-3,1.303052008E-2,1.311899355E-2
2.813971708E0,4.164450942E-4,7.728502471E-3,4.566675425E-4,7.753174976E-3
2.824004708E0,3.821689901E-3,7.402227838E-3,1.303052008E-2,1.546585737E-2
2.834036708E0,4.515900579E-3,-2.645846810E-3,7.192659974E-3,8.895404481E-3
2.844068708E0,-6.904282607E-4,2.956315689E-3,-2.088625431E-3,3.684949094E-3
2.854100708E0,-4.282578402E-3,-4.644278940E-3,7.640556693E-3,9.914025985E-3
2.864132708E0,3.655409706E-3,4.684021734E-3,1.287907720E-2,1.418353655E-2
2.874164708E0,4.049155726E-3,1.085685421E-2,7.531213760E-4,1.161181025E-2
2.884196708E0,5.385514023E-3,3.249937277E-3,9.584755898E-3,1.146444064E-2
2.894228708E0,-5.026001623E-4,1.751149725E-3,7.488529086E-3,7.706957905E-3
2.904260708E0,7.954634400E-4,-2.749232892E-3,2.698490024E-3,3.933559709E-3
2.914292708E0,-4.204289666E-3,5.658642948E-3,1.350706816E-3,7.177792175E-3
2.924324708E0,3.032768033E-3,-2.410971466E-3,1.063140750E-2,1.131535641E-2
2.934356708E0,2.887958083E-3,1.502971966E-3,1.437304080E-2,1.473714790E-2
2.944388708E0,-8.558405098E-4,1.374848507E-2,1.272704959E-2,1.875449536E-2
2.954420708E0,-1.094667292E-3,5.786733516E-3,4.494169950E-3,7.408248430E-3
2.964452708E0,1.315198228E-2,3.859619144E-3,1.257619143E-2,1.860193239E-2
2.974484708E0,-2.044428703E-3,1.415473865E-2,2.697320580E-3,1.455375736E-2
2.984516708E0,4.131468991E-3,2.907710709E-3,1.497179568E-2,1.580121778E-2
2.994548708E0,3.043064615E-3,4.056341406E-3,3.028857708E-4,5.079949571E-3
3.004580708E0,-2.611393919E-3,1.264248423E-2,1.572023928E-2,2.034152671E-2
3.014612708E0,-5.972067411E-3,4.012651742E-4,1.317494631E-2,1.447086083E-2
3.024644708E0,-6.542029325E-4,2.953720987E-3,7.336501479E-3,7.935786231E-3
3.034676708E0,-6.040077838E-3,4.470982086E-3,1.947122812E-3,7.762957449E-3
3.044708708E0,-1.120278554E-2,-8.130370639E-4,-1.944199204E-3,1.139926943E-2
